component,shares_per_bptix,shares_for_130000,value_per_bptix_usd,pct_of_nav,price_2026_07_08,new_since_5_31
SPCX (SpaceX),0.600000,78000.00,88.9800,31.401,148.30,
TSLA,0.103814,13495.82,40.9089,14.437,394.06,
SCHW,0.114114,14834.79,11.6054,4.095,101.70,
H,0.061928,8050.69,11.6054,4.095,187.40,
MSCI,0.018727,2434.47,11.3152,3.993,604.23,
SHOP,0.090043,11705.64,10.7350,3.788,119.22,
ACGL,0.093858,12201.51,9.5744,3.379,102.01,
SPOT,0.018536,2409.71,8.9942,3.174,485.22,
FDS,0.030439,3957.12,7.5435,2.662,247.82,
IT,0.053856,7001.31,7.2534,2.560,134.68,
MTN,0.046460,6039.84,6.6731,2.355,143.63,
VRSK,0.035183,4573.74,6.6731,2.355,189.67,
IDXX,0.012009,1561.18,6.6731,2.355,555.67,
CHH,0.062723,8153.98,6.6731,2.355,106.39,
CSGP,0.227440,29567.20,6.6731,2.355,29.34,
GWRE,0.047023,6113.04,6.3830,2.253,135.74,
RRR,0.087059,11317.62,5.5126,1.945,63.32,
BIRK,0.118047,15346.16,5.2224,1.843,44.24,
KNSL,0.014257,1853.38,4.9323,1.741,345.96,
ONON,0.127602,16588.22,4.6421,1.638,36.38,
MORN,0.026371,3428.24,4.3520,1.536,165.03,yes
AMZN,0.009527,1238.57,2.3211,0.819,243.62,yes
MRNA,0.027520,3577.54,2.0309,0.717,73.80,yes
GLPI,0.027046,3515.96,1.1605,0.410,42.91,
GOOG,0.003235,420.59,1.1605,0.410,358.71,yes
FIG,0.053555,6962.15,1.1605,0.410,21.67,
LLY,0.000716,93.07,0.8704,0.307,1215.83,yes
HEI,0.002503,325.36,0.8704,0.307,347.78,
HEI-A,0.002312,300.50,0.5803,0.205,251.03,
GOOGL,0.000802,104.21,0.2901,0.102,361.92,yes
CASH,,0,0.0000,0.000,,
