component,shares_per_bptix,shares_for_130000,value_per_bptix_7_31,pct_of_nav,pct_of_gross,price_2026_07_31,source
SPCX (SpaceX),0.631306,82069.82,68.4147,27.231,24.755,108.37,disclosed 36.94M sh / 58.51M shares-out; =24.8% gross
TSLA,0.110116,14315.05,34.2691,13.64,12.4,311.21,disclosed 7/31
SCHW,0.13918,18093.39,14.6473,5.83,5.3,105.24,disclosed 7/31
MSCI,0.022699,2950.83,12.9891,5.17,4.7,572.24,disclosed 7/31
SHOP,0.103799,13493.83,12.16,4.84,4.4,117.15,disclosed 7/31
H,0.068273,8875.53,11.8837,4.73,4.3,174.06,disclosed 7/31
ACGL,0.109963,14295.16,11.0546,4.4,4.0,100.53,disclosed 7/31
SPOT,0.021559,2802.67,10.7782,4.29,3.9,499.94,disclosed 7/31
FDS,0.038851,5050.57,10.2255,4.07,3.7,263.2,disclosed 7/31
GWRE,0.058205,7566.63,8.8436,3.52,3.2,151.94,disclosed 7/31
IT,0.051437,6686.82,7.768,3.092,2.811,151.02,6/30 wt scaled
CHH,0.064101,8333.09,7.1466,2.845,2.586,111.49,6/30 wt scaled
CSGP,0.248491,32303.78,7.1466,2.845,2.586,28.76,6/30 wt scaled
IDXX,0.012783,1661.79,7.1466,2.845,2.586,559.07,6/30 wt scaled
MTN,0.047842,6219.42,7.1466,2.845,2.586,149.38,6/30 wt scaled
VRSK,0.036677,4768.06,7.1466,2.845,2.586,194.85,6/30 wt scaled
RRR,0.091616,11910.02,5.9037,2.35,2.136,64.44,6/30 wt scaled
BIRK,0.144447,18778.1,5.593,2.226,2.024,38.72,6/30 wt scaled
KNSL,0.01482,1926.64,5.2823,2.102,1.911,356.42,6/30 wt scaled
ONON,0.137184,17833.89,4.9715,1.979,1.799,36.24,6/30 wt scaled
MORN,0.024203,3146.42,4.6608,1.855,1.686,192.57,6/30 wt scaled
AMZN,0.009153,1189.89,2.4858,0.989,0.899,271.58,6/30 wt scaled
MRNA,0.039676,5157.91,2.175,0.866,0.787,54.82,6/30 wt scaled
FIG,0.051105,6643.71,1.2429,0.495,0.45,24.32,6/30 wt scaled
GLPI,0.027749,3607.39,1.2429,0.495,0.45,44.79,6/30 wt scaled
GOOG,0.003485,453.04,1.2429,0.495,0.45,356.65,6/30 wt scaled
HEI,0.002616,340.05,0.9322,0.371,0.337,356.36,6/30 wt scaled
LLY,0.000811,105.48,0.9322,0.371,0.337,1148.84,6/30 wt scaled
HEI-A,0.002415,314.01,0.6214,0.247,0.225,257.28,6/30 wt scaled
GOOGL,0.000872,113.42,0.3107,0.124,0.112,356.13,6/30 wt scaled
CASH (borrow),,-3266120.0,-25.124,-10.0,-9.091,,L=1.10 -> cash -10% of net
